	sequences per sample	iteration	D1af	D3af	D5bf	D1bf	C12	C11
alpha_rarefaction_10_0.txt	10	0	0.0	0.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_1.txt	10	1	0.0	0.0	1.0	0.0	0.0	0.0
alpha_rarefaction_10_2.txt	10	2	1.0	0.0	1.0	0.0	0.0	1.0
alpha_rarefaction_10_3.txt	10	3	0.0	0.0	1.0	1.0	0.0	0.0
alpha_rarefaction_10_4.txt	10	4	1.0	0.0	3.0	2.0	0.0	0.0
alpha_rarefaction_10_5.txt	10	5	1.0	0.0	0.0	0.0	0.0	0.0
alpha_rarefaction_10_6.txt	10	6	0.0	0.0	1.0	2.0	0.0	0.0
alpha_rarefaction_10_7.txt	10	7	0.0	0.0	1.0	2.0	0.0	0.0
alpha_rarefaction_10_8.txt	10	8	1.0	1.0	0.0	1.0	0.0	0.0
alpha_rarefaction_10_9.txt	10	9	0.0	0.0	2.0	1.0	0.0	0.0
alpha_rarefaction_356_0.txt	356	0	9.0	10.0	8.0	4.0	1.0	1.0
alpha_rarefaction_356_1.txt	356	1	11.0	9.0	13.0	2.0	1.0	3.0
alpha_rarefaction_356_2.txt	356	2	7.0	5.0	11.0	4.0	1.0	3.0
alpha_rarefaction_356_3.txt	356	3	7.0	12.0	10.0	5.0	3.0	4.0
alpha_rarefaction_356_4.txt	356	4	7.0	10.0	6.0	4.0	0.0	1.0
alpha_rarefaction_356_5.txt	356	5	10.0	9.0	10.0	4.0	2.0	2.0
alpha_rarefaction_356_6.txt	356	6	11.0	12.0	11.0	3.0	2.0	3.0
alpha_rarefaction_356_7.txt	356	7	9.0	5.0	8.0	1.0	1.0	0.0
alpha_rarefaction_356_8.txt	356	8	9.0	6.0	10.0	5.0	1.0	2.0
alpha_rarefaction_356_9.txt	356	9	16.0	9.0	11.0	5.0	0.0	4.0
alpha_rarefaction_702_0.txt	702	0	13.0	11.0	8.0	7.0	2.0	4.0
alpha_rarefaction_702_1.txt	702	1	23.0	15.0	11.0	9.0	3.0	7.0
alpha_rarefaction_702_2.txt	702	2	19.0	9.0	5.0	5.0	5.0	2.0
alpha_rarefaction_702_3.txt	702	3	20.0	6.0	5.0	7.0	5.0	7.0
alpha_rarefaction_702_4.txt	702	4	20.0	10.0	16.0	5.0	2.0	7.0
alpha_rarefaction_702_5.txt	702	5	19.0	6.0	6.0	7.0	6.0	5.0
alpha_rarefaction_702_6.txt	702	6	17.0	11.0	13.0	6.0	0.0	5.0
alpha_rarefaction_702_7.txt	702	7	16.0	9.0	6.0	6.0	0.0	6.0
alpha_rarefaction_702_8.txt	702	8	13.0	10.0	12.0	7.0	2.0	3.0
alpha_rarefaction_702_9.txt	702	9	18.0	12.0	12.0	3.0	2.0	4.0
alpha_rarefaction_1048_0.txt	1048	0	22.0	6.0	9.0	8.0	4.0	6.0
alpha_rarefaction_1048_1.txt	1048	1	19.0	11.0	7.0	7.0	5.0	3.0
alpha_rarefaction_1048_2.txt	1048	2	27.0	12.0	11.0	5.0	4.0	7.0
alpha_rarefaction_1048_3.txt	1048	3	22.0	9.0	13.0	6.0	6.0	10.0
alpha_rarefaction_1048_4.txt	1048	4	20.0	14.0	5.0	7.0	7.0	5.0
alpha_rarefaction_1048_5.txt	1048	5	25.0	12.0	14.0	5.0	6.0	2.0
alpha_rarefaction_1048_6.txt	1048	6	21.0	10.0	8.0	8.0	2.0	6.0
alpha_rarefaction_1048_7.txt	1048	7	21.0	10.0	6.0	9.0	3.0	4.0
alpha_rarefaction_1048_8.txt	1048	8	21.0	16.0	12.0	12.0	3.0	5.0
alpha_rarefaction_1048_9.txt	1048	9	18.0	7.0	9.0	9.0	5.0	8.0
alpha_rarefaction_1394_0.txt	1394	0	26.0	10.0	6.0	11.0	6.0	7.0
alpha_rarefaction_1394_1.txt	1394	1	29.0	12.0	11.0	8.0	5.0	7.0
alpha_rarefaction_1394_2.txt	1394	2	20.0	13.0	14.0	12.0	3.0	5.0
alpha_rarefaction_1394_3.txt	1394	3	29.0	7.0	13.0	11.0	6.0	5.0
alpha_rarefaction_1394_4.txt	1394	4	29.0	10.0	11.0	17.0	9.0	9.0
alpha_rarefaction_1394_5.txt	1394	5	22.0	10.0	10.0	8.0	5.0	5.0
alpha_rarefaction_1394_6.txt	1394	6	19.0	11.0	11.0	11.0	3.0	8.0
alpha_rarefaction_1394_7.txt	1394	7	27.0	7.0	10.0	10.0	4.0	4.0
alpha_rarefaction_1394_8.txt	1394	8	34.0	15.0	12.0	14.0	4.0	8.0
alpha_rarefaction_1394_9.txt	1394	9	23.0	12.0	16.0	6.0	3.0	4.0
alpha_rarefaction_1740_0.txt	1740	0	15.0	10.0	14.0	12.0	9.0	8.0
alpha_rarefaction_1740_1.txt	1740	1	27.0	7.0	8.0	12.0	4.0	4.0
alpha_rarefaction_1740_2.txt	1740	2	30.0	9.0	7.0	16.0	4.0	4.0
alpha_rarefaction_1740_3.txt	1740	3	29.0	11.0	11.0	14.0	6.0	10.0
alpha_rarefaction_1740_4.txt	1740	4	35.0	10.0	10.0	14.0	4.0	12.0
alpha_rarefaction_1740_5.txt	1740	5	28.0	6.0	10.0	10.0	6.0	3.0
alpha_rarefaction_1740_6.txt	1740	6	26.0	10.0	8.0	17.0	5.0	8.0
alpha_rarefaction_1740_7.txt	1740	7	21.0	11.0	7.0	12.0	6.0	12.0
alpha_rarefaction_1740_8.txt	1740	8	30.0	9.0	12.0	14.0	5.0	7.0
alpha_rarefaction_1740_9.txt	1740	9	24.0	13.0	18.0	12.0	3.0	7.0
alpha_rarefaction_2086_0.txt	2086	0	25.0	16.0	15.0	12.0	5.0	15.0
alpha_rarefaction_2086_1.txt	2086	1	20.0	11.0	10.0	10.0	10.0	13.0
alpha_rarefaction_2086_2.txt	2086	2	28.0	15.0	5.0	10.0	2.0	4.0
alpha_rarefaction_2086_3.txt	2086	3	28.0	10.0	7.0	10.0	7.0	11.0
alpha_rarefaction_2086_4.txt	2086	4	28.0	13.0	12.0	16.0	6.0	6.0
alpha_rarefaction_2086_5.txt	2086	5	25.0	7.0	6.0	17.0	5.0	10.0
alpha_rarefaction_2086_6.txt	2086	6	27.0	17.0	7.0	19.0	6.0	10.0
alpha_rarefaction_2086_7.txt	2086	7	25.0	7.0	16.0	15.0	4.0	6.0
alpha_rarefaction_2086_8.txt	2086	8	26.0	17.0	12.0	14.0	6.0	11.0
