taxonomy	MN12	MN13	MN15	MT209
Acidobacteria	0	0	0	0
Actinobacteria	0	0	0	0.04145746
Armatimonadetes	0	0	0	0
Bacteroidetes	1.5855777585	0.8866296253	1.1750555144	3.3810861855
Chloroflexi	0	0	0	0.3639043715
Cyanobacteria	0.0144801622	0.0236434567	0.0277572169	0.902851352
Firmicutes	12.3370981755	25.2866769122	3.9322723908	0
Fusobacteria	0.2606429192	0	0	0.0046063844
GN02	0.0072400811	0	0	0
Gemmatimonadetes	0	0	0	0
Lentisphaerae	1.7810599479	15.2500295543	40.2479644708	0
Nitrospirae	0	0	0	0
Planctomycetes	0.0144801622	0.0118217283	0.0092524056	0.0598829978
Proteobacteria	83.9994207935	58.4820900816	54.5984455959	95.2462112488
SAR406	0	0	0	0
Spirochaetes	0	0.0118217283	0	0
TM6	0	0	0	0
Verrucomicrobia	0	0.0472869133	0.0092524056	0
